year,lat,lon,flag,total_effort,total_catch
1983,-2.5,144.5,JP,103.73,1186.5
1983,-2.5,145.5,JP,18.84,431.5
1983,4.5,140.5,JP,31.55,599
1983,4.5,141.5,JP,11.7,207.999
1983,4.5,142.5,JP,15.21,491
1983,4.5,143.5,JP,18.72,268.99899999999997
1983,-3.5,145.5,JP,24.57,156
1983,-3.5,146.5,JP,23.04,398.00100000000003
1983,-3.5,147.5,JP,14.5,156.001
1983,-3.5,148.5,JP,14.5,223.001
1983,5.5,140.5,JP,33.69,590
1983,5.5,141.5,JP,15.57,265.00100000000003
1983,5.5,142.5,JP,9.34,308.00000000000006
1983,-4.5,147.5,JP,17.02,180.001
1983,-4.5,148.5,JP,3.96,61.999
1983,6.5,140.5,JP,14.01,99
1983,-35.5,174.5,NZ,21.5,450
1983,-35.5,175.5,NZ,58.79,1536
1983,-35.5,176.5,NZ,5.5,460
1983,-36.5,175.5,NZ,9.23,196
1983,-36.5,176.5,NZ,16.01,292
1983,-37.5,177.5,NZ,9.81,298
1983,-39.5,177.5,NZ,7.01,103
1983,0.5,142.5,JP,4.34,135.5
1983,0.5,143.5,JP,4.34,15
1983,1.5,141.5,JP,20.25,221.004
1983,1.5,142.5,JP,11.12,139.999
1983,1.5,143.5,JP,22.24,410
1983,-0.5,142.5,JP,16.87,398.49999999999994
1983,-0.5,143.5,JP,11.47,200
1983,-0.5,144.5,JP,9.72,135.2
1983,-1.5,142.5,JP,25.85,666.5
1983,-1.5,143.5,JP,104.67,1693.998
1983,-1.5,145.5,JP,20.5,370.00000000000006
1983,3.5,142.5,JP,10.57,273.001
1983,3.5,144.5,JP,46.49,306.00000000000006
1983,-2.5,142.5,JP,13.85,375.001
1983,-2.5,143.5,JP,61.42,1295
1983,4.5,140.5,JP,59.19,1910.4
1983,4.5,141.5,JP,32.5,521.0000000000001
1983,4.5,142.5,JP,8.62,58.998999999999995
1983,4.5,143.5,JP,23.58,539.001
1983,4.5,144.5,JP,83.93,1262.9989999999998
1983,4.5,145.5,JP,19.45,316.99999999999994
1983,5.5,136.5,JP,6.71,150
1983,5.5,137.5,JP,13.58,227
1983,5.5,138.5,JP,22.66,398.99899999999997
1983,5.5,139.5,JP,37.24,593.002
1983,5.5,140.5,JP,13.55,242.00099999999998
1983,5.5,141.5,JP,14.7,256.798
1983,5.5,142.5,JP,37.46,546.2
1983,5.5,143.5,JP,24.67,790.9989999999999
1983,6.5,138.5,JP,2.73,22
1983,6.5,139.5,JP,4.95,111
1983,6.5,140.5,JP,20.67,273.001
1983,6.5,141.5,JP,7.59,100
1983,-2.5,155.5,KR,14.68,359.715
1983,-37.5,176.5,NZ,19.16,264
